"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits"
"CA2702007","VIERRA ESTATES WS","Region 9","California","Community water system","164","-","-","9","8","12"
"CA5000057","ORCHARD VILLAGE MHP","Region 9","California","Community water system","75","-","-","3","6","8"
"CA1410001","BISHOP, CITY OF","Region 9","California","Community water system","3,881","BISHOP","-","5","4","8"
"CA4410013","SCOTTS VALLEY WATER DISTRICT","Region 9","California","Community water system","10,509","-","-","35","13","23"
"CA0707585","MORAGA HEIGHTS MUTUAL WATER","Region 9","California","Community water system","60","-","-","3","24","20"
"CA2600622","SIERRA EAST MOBILE HOME COMMUNITY","Region 9","California","Community water system","50","-","-","4","27","5"
"CA4010024","SLO CWWD NO. 23 - SANTA MARGARITA","Region 9","California","Community water system","1,259","-","-","12","0","13"
"CA4010025","SLO CWD NO. 10 - CAYUCOS WTP","Region 9","California","Community water system","0","-","-","8","3","20"
"CA4010028","SLO CSA NO. 16 - SHANDON","Region 9","California","Community water system","1,295","-","-","7","0","8"
"CA4010901","SLOCSA #10A - CAYUCOS","Region 9","California","Community water system","857","-","-","2","0","3"
"CA4010080","NACIMIENTO WATER PROJECT","Region 9","California","Community water system","0","-","-","6","0","2"
"CA4810701","TRAVIS AIR FORCE BASE - DISTRIBUTION","Region 9","California","Community water system","7,190","-","-","20","9","24"
"CA5610007","OXNARD WATER DEPT","Region 9","California","Community water system","200,855","-","-","83","5","18"
"CA1000053","LANARE COMMUNITY SERVICES DIST","Region 9","California","Community water system","660","-","-","5","46","10"
"CA1710011","BUCKINGHAM PARK WATER DISTRICT","Region 9","California","Community water system","1,501","-","-","7","16","11"
"CA2810001","HOWELL MOUNTAIN MUTUAL WATER COMPANY","Region 9","California","Community water system","1,500","-","-","6","41","11"
"CA0707597","SANDY POINT MOBILE HOME PARK","Region 9","California","Community water system","94","-","-","2","6","16"
"CA0707519","DUTCH SLOUGH WATER WORKS","Region 9","California","Community water system","49","-","-","2","5","17"
"CA0900655","ROCKWATER APTS.","Region 9","California","Community water system","50","-","-","3","18","4"
"CA2010005","YOSEMITE SPRING PARK UTIL CO","Region 9","California","Community water system","5,921","-","-","76","18","10"
"CA1500555","MUSTANG MUTUAL WATER SYSTEM","Region 9","California","Community water system","200","-","-","2","5","5"
"CA1000199","ALICE MANOR","Region 9","California","Community water system","46","-","-","3","11","10"
"CA1500478","VALLEY ESTATES POA, INC.","Region 9","California","Community water system","255","-","-","3","20","5"
"CA1503669","NORTH KRANENBURG WS","Region 9","California","Community water system","33","-","-","2","1","2"
"CA3010097","MIDWAY CITY MUTUAL WC","Region 9","California","Community water system","1,257","MIDWAY CITY","-","5","13","9"
"CA4500081","LAZY LANDING MOBILE HOME PARK","Region 9","California","Community water system","250","-","-","3","4","11"
"CA1502690","DUNE 3 MUTUAL WATER COMPANY, LLC","Region 9","California","Community water system","100","-","-","3","11","4"
"CA2400128","COUNTRY CLUB COUNTY WD","Region 9","California","Community water system","56","-","-","3","3","1"
"CA3200134","BLAIRSDEN WATER USERS ASSN","Region 9","California","Community water system","200","-","-","4","33","10"
"CA3200188","GREENHORN CREEK CSD","Region 9","California","Community water system","280","-","-","7","3","10"
"CA2300591","PINE MOUNTAIN MUTUAL WATER CO.","Region 9","California","Community water system","310","-","-","16","4","6"
"CA1200587","BRICELAND C.S.D.","Region 9","California","Community water system","75","-","-","3","29","7"
"CA5510008","LAKE DON PEDRO CSD","Region 9","California","Community water system","3,240","-","-","6","22","13"
"CA1910186","CAL-AM WATER COMPANY - DUARTE","Region 9","California","Community water system","21,556","-","-","22","0","11"
"CA1910052","CAL/AM WATER COMPANY - BALDWIN HILLS","Region 9","California","Community water system","18,388","-","-","21","2","17"
"CA1910139","CAL/AM WATER COMPANY - SAN MARINO","Region 9","California","Community water system","40,794","-","-","72","0","23"
"CA5601117","SENIOR CANYON MUTUAL WATER CO","Region 9","California","Community water system","800","-","-","5","17","16"
"CA0910006","GRIZZLY FLATS COMMUNITY SERVIC","Region 9","California","Community water system","1,300","-","-","3","3","11"
"CA5500115","SUGAR PINE RV PARK","Region 9","California","Community water system","90","-","-","4","0","7"
"CA1910140","RUBIO CANON LAND & WATER ASSOCIATION","Region 9","California","Community water system","9,600","-","-","23","0","25"
"CA3010030","CITY OF SAN JUAN CAPISTRANO","Region 9","California","Community water system","40,000","SAN JUAN CAPISTRANO","-","28","9","25"
"CA3010120","SAN JUAN BASIN AUTHORITY","Region 9","California","Community water system","0","-","-","17","5","9"
"CA3410018","RIO LINDA/ELVERTA COMMUNITY WATER DIST","Region 9","California","Community water system","13,386","-","-","37","16","13"
"CA1910154","CITY OF SOUTH PASADENA","Region 9","California","Community water system","26,174","SOUTH PASADENA","-","20","3","17"
"CA1010007","CITY OF FRESNO","Region 9","California","Community water system","524,320","FRESNO","-","970","10","55"
"CA1910108","PARK WATER COMPANY - BELL GARDENS","Region 9","California","Community water system","11,879","BELL GARDENS","-","8","0","17"
"CA2010009","MADERA CO SA NO 19-ROLLING HILLS","Region 9","California","Community water system","1,105","-","-","10","3","6"
"CA2000729","SA#16 SUMNER HILL-WATER SYSTEM","Region 9","California","Community water system","100","-","-","22","23","13"
"CA2010011","MADERA CO SA #1-INDIAN LAKES","Region 9","California","Community water system","1,562","-","-","12","10","7"
"CA2010004","MADERA CMD NO 19 PARKWOOD","Region 9","California","Community water system","1,637","-","-","6","8","5"
"CA2010008","MADERA COUNTY M.D. #10A - MADERA RANCHOS","Region 9","California","Community water system","3,039","-","-","10","7","8"
"CA2000544","MD#01 HIDDEN LAKE ESTATES","Region 9","California","Community water system","162","-","-","19","34","12"
"CA2010006","MADERA CSA NO 3 PARKSDALE","Region 9","California","Community water system","2,198","-","-","5","7","8"
"CA2701906","SAN ANTONIO MHE WS","Region 9","California","Community water system","65","-","-","6","3","1"
"CA2700691","PESANTE RD WS #06","Region 9","California","Community water system","48","-","-","3","12","12"
"CA1910064","LITTLEROCK CREEK IRRIGATION DIST.","Region 9","California","Community water system","2,900","-","-","36","1","19"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","Region 9","California","Community water system","500","-","-","5","27","4"
"CA2700669","ORCHARD LN WS #02","Region 9","California","Community water system","32","-","-","4","8","10"
"CA5100107","SUTTER CO. WWD#1 (ROBBINS)","Region 9","California","Community water system","350","-","-","6","58","33"
"CA1805007","HERLONG PUBLIC UTILITY DISTRICT","Region 9","California","Community water system","2,100","-","-","5","0","13"
"CA1800511","LAKE FOREST MUTUAL W.C.","Region 9","California","Community water system","568","-","-","3","12","14"
"CA2701295","ESALEN INSTITUTE WS","Region 9","California","Community water system","200","-","-","4","33","5"
"CA2700740","SAN MIGUEL WS #03","Region 9","California","Community water system","48","-","-","1","7","7"
"CA2702439","WOODLAND HEIGHTS MWC","Region 9","California","Community water system","57","-","-","4","15","10"
"CA2701423","ECHO VALLEY RD WS #05","Region 9","California","Community water system","48","-","-","3","12","11"
"CA2700665","OAK HEIGHTS W & R CO INC","Region 9","California","Community water system","105","-","-","4","22","12"
"CA2702135","FOOTHILL WA","Region 9","California","Community water system","28","-","-","2","5","7"
"CA2600538","LOWER ROCK CREEK MUTUAL WATER CO.","Region 9","California","Community water system","300","-","-","4","33","12"
"CA2700702","PRUNEDALE MWC","Region 9","California","Community water system","252","-","-","7","32","14"
"CA2701898","CLEAR RIDGE WA","Region 9","California","Community water system","123","-","-","3","17","6"
"CA2701263","PARTINGTON RIDGE MWC","Region 9","California","Community water system","75","-","-","9","39","3"
"CA5610001","DEMPSEY ROAD MUTUAL WATER CO","Region 9","California","Community water system","1,520","-","-","4","2","6"
"CA1610700","LEMOORE NAVAL AIR STATION","Region 9","California","Community water system","12,000","-","-","14","25","13"
"CA2210905","MCCLURE BOAT CLUB, INC.","Region 9","California","Community water system","286","-","-","3","5","11"
"CA3610031","MUSCOY MWC NO. 1","Region 9","California","Community water system","7,500","-","-","11","4","9"
"CA1910012","BELLFLOWER HOME GARDENS WC","Region 9","California","Community water system","1,129","-","-","13","2","21"
"CA4910017","WINDSOR, TOWN OF","Region 9","California","Community water system","27,486","-","-","24","3","8"
"CA5500125","MOTHER LODE MOBILE ESTATES","Region 9","California","Community water system","210","-","-","7","16","9"
"CA2700766","STRAWBERRY RD WS #06","Region 9","California","Community water system","150","-","-","2","23","11"
"CA2700535","JOST POST WA","Region 9","California","Community water system","60","-","-","5","18","9"
"CA2701904","SAN JERARDO COOP WS","Region 9","California","Community water system","249","-","-","6","18","9"
"CA2701034","APPLE AVE WS #02","Region 9","California","Community water system","75","-","-","3","40","11"
"CA2700663","MURPHY HILL WS #02","Region 9","California","Community water system","60","-","-","2","41","11"
"CA2701633","PARADISE RD WS #21","Region 9","California","Community water system","48","-","-","4","11","6"
"CA2700733","SAN JUAN RD WS #01","Region 9","California","Community water system","45","-","-","2","34","12"
"CA2701676","SAN LUCAS WD","Region 9","California","Community water system","500","-","-","9","21","10"
"CA4500084","MCARTHUR MOBILEHOME PARK","Region 9","California","Community water system","99","-","-","7","12","8"
"CA4500089","PINE RIDGE PARK ESTATES","Region 9","California","Community water system","57","-","-","2","6","7"
"CA4500093","RED HILL MOBILEHOME PARK","Region 9","California","Community water system","45","-","-","3","6","6"
"CA4500094","RIVERLAND MOBILEHOME PARK","Region 9","California","Community water system","274","-","-","9","6","10"
"CA4500104","SUNRISE MOBILEHOME PARK","Region 9","California","Community water system","25","-","-","3","8","9"
"CA4900570","PALOMINO LAKES MUTUAL WATER CO.","Region 9","California","Community water system","340","-","-","5","9","3"
"CA2701364","PEDRAZZI MWC","Region 9","California","Community water system","273","-","-","2","23","8"
"CA2700541","DEL MONTE FARMS RD WS #03","Region 9","California","Community water system","55","-","-","4","11","14"
"CA2701959","TIERRA VISTA MWC","Region 9","California","Community water system","57","-","-","2","30","12"
"CA2702608","THIMIO MWC","Region 9","California","Community water system","60","-","-","3","2","7"
"CA3010047","GOLDEN STATE WC - COWAN HEIGHTS","Region 9","California","Community water system","5,390","-","-","13","0","11"
"CA3010070","GOLDEN STATE WC - YORBA LINDA","Region 9","California","Community water system","5,551","-","-","13","0","17"
"CA3010035","GOLDEN STATE WC - PLACENTIA","Region 9","California","Community water system","36,374","-","-","15","0","15"
"CA3010022","GOLDEN STATE WC - WEST ORANGE","Region 9","California","Community water system","114,016","-","-","66","0","21"
"CA5301002","LEWISTON COMMUNITY SERVICES DISTRICT","Region 9","California","Community water system","250","-","-","7","35","20"
"CA1510802","KERN VALLEY STATE PRISON","Region 9","California","Community water system","5,300","-","-","6","24","6"
"CA2210002","PONDEROSA BASIN MUTUAL WTR CO","Region 9","California","Community water system","790","-","-","22","15","7"
"CA4110023","CITY OF SAN BRUNO","Region 9","California","Community water system","40,165","SAN BRUNO","-","18","1","16"
"CA2710008","GREENFIELD, CITY OF","Region 9","California","Community water system","17,898","GREENFIELD","-","17","5","14"
"CA5400660","LAKE SUCCESS MOBILE LODGE","Region 9","California","Community water system","40","-","-","3","52","5"
"CA1310002","CALEXICO, CITY OF","Region 9","California","Community water system","38,572","CALEXICO","-","4","2","26"
"CA0610002","CITY OF COLUSA","Region 9","California","Community water system","5,625","COLUSA","-","14","1","33"
"CA1910083","MANHATTAN BEACH-CITY, WATER DEPT.","Region 9","California","Community water system","35,726","MANHATTAN BEACH","-","11","2","30"
"CA1910040","EL SEGUNDO-CITY, WATER DEPT.","Region 9","California","Community water system","16,654","EL SEGUNDO","-","7","1","18"
"CA5500060","MI-WUK HEIGHTS MWC","Region 9","California","Community water system","352","-","-","7","9","9"
"CA2810002","CALISTOGA, CITY OF","Region 9","California","Community water system","5,155","CALISTOGA","-","10","8","13"
"CA4600018","SIERRAVILLE P.U.D.","Region 9","California","Community water system","200","-","-","3","22","18"
"CA4300573","GREEN ACRES MUTUAL WATER","Region 9","California","Community water system","53","-","-","6","14","5"
"CA5410015","TULARE, CITY OF","Region 9","California","Community water system","62,363","TULARE","-","94","8","17"
"CA4910014","ROHNERT PARK, CITY OF","Region 9","California","Community water system","41,398","ROHNERT PARK","-","99","2","8"
"CA4910011","SEBASTOPOL, CITY OF","Region 9","California","Community water system","7,507","SEBASTOPOL","-","18","11","12"
"CA1200501","ALDERPOINT COUNTY WATER","Region 9","California","Community water system","219","-","-","3","49","12"
"CA4500317","SHASTA CSA - FRENCH GULCH, #11","Region 9","California","Community water system","277","-","-","5","5","8"
"CA4500001","SHASTA CSA - KESWICK,  #25","Region 9","California","Community water system","475","-","-","3","28","5"
"CA4500015","SHASTA CSA - CASTELLA, #3","Region 9","California","Community water system","252","-","-","5","27","10"
"CA4500028","SHASTA CSA - CRAGVIEW, #23","Region 9","California","Community water system","218","-","-","5","27","10"
"CA4510004","SHASTA CSA - JONES VALLEY, #6","Region 9","California","Community water system","1,119","-","-","3","3","12"
"CA4500006","SHASTA CSA - SUGARLOAF, #2","Region 9","California","Community water system","160","-","-","9","33","8"
"CA5610069","VENTURA CWWD NO. 38 - LAKE SHERWOOD","Region 9","California","Community water system","2,207","-","-","2","0","7"
"CA5610015","VENTURA CWWD NO. 19 - SOMIS","Region 9","California","Community water system","3,275","-","-","11","0","9"
"CA5610018","VENTURA CWWD NO. 1 - MOORPARK","Region 9","California","Community water system","38,703","-","-","24","0","16"
"CA5610003","VENTURA CWWD NO. 17 - BELL CANYON","Region 9","California","Community water system","2,049","-","-","2","0","7"
"CA5500086","SONORA ESTATES MOBILE HOME PARK","Region 9","California","Community water system","210","-","-","3","4","12"
"CA3610008","BIG BEAR CITY CSD","Region 9","California","Community water system","12,411","BIG BEAR CITY","-","27","1","7"
"CA1910194","ROWLAND WATER DISTRICT","Region 9","California","Community water system","62,106","-","-","6","0","20"
"CA2810008","VETERANS HOME OF CALIFORNIA","Region 9","California","Community water system","2,933","-","-","3","4","14"
"CA3910012","CITY OF STOCKTON","Region 9","California","Community water system","182,963","STOCKTON","-","129","4","17"
"CA5510007","DEL ORO WATER COMPANY - STRAWBERRY DIV.","Region 9","California","Community water system","1,330","-","-","4","24","15"
"CA1000405","PIEDRA PARK ASSOICATION","Region 9","California","Community water system","24","-","-","3","51","13"
"CA4500014","LAKESHORE HEIGHTS MUTUAL WATER","Region 9","California","Community water system","225","-","-","7","30","5"
"CA4300578","ANGELO LANE WATER COMPANY","Region 9","California","Community water system","52","-","-","2","14","5"
"CA2410700","CASTLE AIRPORT","Region 9","California","Community water system","1,500","-","-","26","3","3"
"CA1500540","PINON VALLEY WATER COMPANY","Region 9","California","Community water system","80","-","-","4","41","7"
"CA2810004","ST. HELENA, CITY OF","Region 9","California","Community water system","6,065","ST. HELENA","-","13","2","12"
"CA2010001","CHOWCHILLA CITY WATER DEPT","Region 9","California","Community water system","13,018","CHOWCHILLA","-","31","10","9"
"CA1510027","DESERT LAKE COMM SERV DIST","Region 9","California","Community water system","792","-","-","6","28","4"
"CA2300708","RIDGEWOOD WATER SYSTEM","Region 9","California","Community water system","200","-","-","13","13","5"
"CA2910011","PLAVADA COMMUNITY ASSOCIATION","Region 9","California","Community water system","478","-","-","22","26","4"
"CA1910023","AVERYDALE MWC","Region 9","California","Community water system","967","-","-","7","3","25"
"CA1502619","SOUTH DESERT MUTUAL WATER COMPANY","Region 9","California","Community water system","26","-","-","2","16","4"
"CA1100616","ELK CREEK COMMUNITY S.D.","Region 9","California","Community water system","300","-","-","3","5","23"
"CA5400880","THE LAKES ASSOCIATION","Region 9","California","Community water system","400","-","-","3","7","6"
"CA4900850","BODEGA WATER COMPANY","Region 9","California","Community water system","77","-","-","8","46","7"
"CA4210013","SOLVANG WATER DIVISION","Region 9","California","Community water system","5,292","-","-","20","12","19"
"CA5601125","COMMUNITY MUTUAL WATER CO","Region 9","California","Community water system","36","-","-","4","0","0"
"CA1010004","COALINGA-CITY","Region 9","California","Community water system","19,362","COALINGA","-","3","11","15"
"CA1910173","WHITTIER-CITY, WATER DEPT.","Region 9","California","Community water system","49,954","WHITTIER","-","53","0","31"
"CA1700589","BLUE LAKES MOBILE HOME PARK","Region 9","California","Community water system","38","-","-","4","27","4"
"CA5010008","HUGHSON, CITY OF","Region 9","California","Community water system","6,082","HUGHSON","-","20","41","19"
"CA0310012","AWA BUCKHORN PLANT","Region 9","California","Community water system","8,606","-","-","5","6","21"
"CA5510026","PHOENIX LAKE ESTATES CC MWC","Region 9","California","Community water system","870","-","-","7","23","6"
"CA3210007","WEST ALMANOR M.W.C.","Region 9","California","Community water system","500","-","-","7","3","9"
"CA4010027","NACIMIENTO WATER COMPANY","Region 9","California","Community water system","290","-","-","7","14","15"
"CA1200588","SEAWOOD ESTATES MUTUAL WATER","Region 9","California","Community water system","60","-","-","16","20","10"
"CA2110502","NPS PRNS - BEACHES","Region 9","California","Community water system","55","-","-","5","1","6"
"CA1910099","PARADISE RANCH MHP","Region 9","California","Community water system","290","-","-","35","20","23"
"CA4900788","EL CRYSTAL MOBILE HOME PARK","Region 9","California","Community water system","130","-","-","5","15","3"
"CA3210010","HAMILTON BRANCH CSD","Region 9","California","Community water system","1,624","-","-","3","2","19"
"CA4010007","PASO ROBLES WATER DEPARTMENT","Region 9","California","Community water system","30,500","-","-","63","4","20"
"CA4810800","CALIFORNIA STATE PRISON - SOLANO","Region 9","California","Community water system","9,999","-","-","6","3","16"
"CA4000808","MONTE SERENO MUTUAL BENEFIT WATER","Region 9","California","Community water system","60","-","-","5","0","4"
"CA2800548","SILVERADO PINES MOBILE HOME","Region 9","California","Community water system","255","-","-","5","16","12"
"CA4300567","BURCHELL ROAD WATER COMPANY","Region 9","California","Community water system","132","-","-","4","18","5"
"CA1510022","WEST KERN WATER DISTRICT","Region 9","California","Community water system","20,591","-","-","25","2","14"
"CA1510046","LOST HILLS UTILITY DISTRICT","Region 9","California","Community water system","2,412","-","-","7","30","7"
"CA4900587","BRAND WATER COMPANY","Region 9","California","Community water system","100","-","-","6","27","3"
"CA5410004","FARMERSVILLE, CITY OF","Region 9","California","Community water system","10,908","FARMERSVILLE","-","17","11","13"
"CA1010501","NPS-GRANT GROVE","Region 9","California","Community water system","2,950","-","-","8","1","8"
"CA1502383","NORD ROAD WATER ASSOCIATION","Region 9","California","Community water system","32","-","-","2","74","4"
"CA2400167","BALLICO CSD","Region 9","California","Community water system","406","-","-","2","0","4"
"CA3110003","FORESTHILL PUBLIC UTILITY DIST","Region 9","California","Community water system","5,500","-","-","5","0","28"
"CA1502750","RIVERVIEW HOMEOWNERS ASSOCIATION","Region 9","California","Community water system","40","-","-","2","17","4"
"CA1500495","AERA ENERGY-LLC","Region 9","California","Community water system","70","-","-","8","10","4"
"CA3610045","LACSD - RIMFOREST","Region 9","California","Community water system","579","-","-","10","3","5"
"CA3610005","LAKE ARROWHEAD CSD","Region 9","California","Community water system","12,424","-","-","23","0","8"
"CA3610086","WEST END CONSOLIDATED WATER COMPANY","Region 9","California","Community water system","0","-","-","15","0","9"
"CA3610050","UPLAND, CITY OF","Region 9","California","Community water system","78,791","UPLAND","-","43","2","11"
"CA3010027","CITY OF ORANGE","Region 9","California","Community water system","138,640","ORANGE","-","61","0","25"
"CA5400523","EL MONTE VILLAGE MHP","Region 9","California","Community water system","100","-","-","3","29","7"
"CA3610800","CDF - OAK GLEN CONSERVATION CAMP","Region 9","California","Community water system","179","-","-","5","3","3"
"CA1410502","NPS - DEATH VALLEY, STOVEPIPE WELLS","Region 9","California","Community water system","25","-","-","3","2","4"
"CA1410505","NPS - DEATH VALLEY, FURNACE CREEK","Region 9","California","Community water system","150","-","-","9","2","4"
"CA1410503","NPS - DEATH VALLEY, COW CREEK/NEVARES","Region 9","California","Community water system","88","-","-","5","1","4"
"CA4310004","CITY OF GILROY","Region 9","California","Community water system","39,050","GILROY","-","25","0","15"
"CA4300603","OAK DELL PARK","Region 9","California","Community water system","100","-","-","5","5","5"
"CA2310013","POINT ARENA WATER WORKS","Region 9","California","Community water system","646","-","-","5","1","5"
"CA0710001","CITY OF ANTIOCH","Region 9","California","Community water system","103,833","ANTIOCH","-","14","3","11"
"CA3110124","PLACER CWA - MONTE VISTA","Region 9","California","Community water system","56","-","-","5","2","6"
"CA1010042","MALAGA COUNTY WATER DISTRICT","Region 9","California","Community water system","947","-","-","21","17","9"
"CA5400710","BADGER HILL ESTATES","Region 9","California","Community water system","300","-","-","3","7","4"
"CA4110017","CITY OF MENLO PARK","Region 9","California","Community water system","14,139","MENLO PARK","-","2","1","12"
"CA5400816","BEDEL MUTUAL WATER CO","Region 9","California","Community water system","155","-","-","4","10","6"
"CA5400556","RIVER RETREAT MUTUAL","Region 9","California","Community water system","53","-","-","6","7","2"
"CA3010062","CITY OF GARDEN GROVE","Region 9","California","Community water system","170,883","GARDEN GROVE","-","94","0","23"
"CA1310004","EL CENTRO, CITY OF","Region 9","California","Community water system","42,595","EL CENTRO","-","9","6","12"
"CA3510002","SAN JUAN BAUTISTA, CITY OF","Region 9","California","Community water system","1,720","SAN JUAN BAUTISTA","-","8","4","11"
"CA3710008","FALLBROOK PUD","Region 9","California","Community water system","34,096","-","-","14","1","14"
"CA1200592","BIG LAGOON CSD","Region 9","California","Community water system","140","-","-","5","13","9"
"CA3310076","WESTERN MWD (ID A - RAINBOW)","Region 9","California","Community water system","122","-","-","2","0","4"
"CA3310036","WESTERN MWD - MURRIETA DIVISION","Region 9","California","Community water system","6,840","-","-","21","7","12"
"CA3310049","WESTERN MWD","Region 9","California","Community water system","50,823","-","-","11","0","16"
"CA3310075","WESTERN MWD (ARLINGTON)","Region 9","California","Community water system","0","-","-","11","0","9"
"CA3110050","PLACER CWA - APPLEGATE","Region 9","California","Community water system","215","-","-","3","0","6"
"CA3110024","PLACER CWA - ALTA","Region 9","California","Community water system","875","-","-","3","2","7"
"CA3110040","PLACER CWA - BIANCHI ESTATES","Region 9","California","Community water system","122","-","-","8","0","6"
"CA3110025","PLACER CWA - FOOTHILL","Region 9","California","Community water system","83,394","-","-","20","0","25"
"CA5500019","JENNESS PARK CHRISTIAN CAMP","Region 9","California","Community water system","537","-","-","5","3","4"
"CA4410016","FOREST LAKES MWC","Region 9","California","Community water system","1,200","-","-","33","19","8"
"CA1410006","BIG PINE CSD","Region 9","California","Community water system","1,061","-","-","7","3","1"
"CA4300924","PARKWAY LAKES RV PARK","Region 9","California","Community water system","250","-","-","5","8","4"
"CA5400940","SIERRA KING HOMEOWNERS ASSN","Region 9","California","Community water system","120","-","-","5","8","5"
"CA2100579","NICASIO VALLEY RANCH MUTUAL","Region 9","California","Community water system","51","-","-","4","6","2"
"CA2710702","FORT HUNTER LIGGETT","Region 9","California","Community water system","5,500","-","-","17","7","10"
"CA4510006","CITY OF SHASTA LAKE","Region 9","California","Community water system","10,293","SHASTA LAKE   4510007","-","3","2","29"
"CA3301428","BLYTHE - MESA RANCH","Region 9","California","Community water system","200","-","-","10","8","5"
"CA3301630","BLYTHE - HIDDEN BEACHES","Region 9","California","Community water system","300","-","-","5","25","5"
"CA3310003","BLYTHE - CITY OF","Region 9","California","Community water system","12,155","BLYTHE","-","49","6","13"
"CA4100531","LOG CABIN RANCH","Region 9","California","Community water system","55","-","-","6","32","41"
"CA1410007","HIGHLAND MOBILE HOME PARK","Region 9","California","Community water system","900","-","-","4","2","3"
"CA1410005","INDIAN CREEK CSD","Region 9","California","Community water system","1,030","-","-","8","1","6"
"CA5610020","THOUSAND OAKS WATER DEPT","Region 9","California","Community water system","50,000","-","-","2","0","14"
"CA1910156","BEVERLY HILLS-CITY, WATER DEPT.","Region 9","California","Community water system","43,628","BEVERLY HILLS","-","38","59","17"
"CA5010013","CITY OF NEWMAN-WATER DEPARTMENT","Region 9","California","Community water system","10,753","NEWMAN","-","15","10","14"
"CA5810006","NORTH YUBA WATER DISTRICT","Region 9","California","Community water system","3,105","-","-","3","1","18"
"CA4300770","THREE SPRINGS RANCH MUTUAL WATER COMPANY","Region 9","California","Community water system","110","-","-","11","21","5"
"CA4900787","PLAZA MOBILE HOME PARK","Region 9","California","Community water system","125","-","-","5","4","3"
"CA4900688","JOURNEY'S END MOBILE HOME PARK","Region 9","California","Community water system","180","-","-","5","7","6"
